::ffff:47.241.185.192 - - [11/Sep/2021:17:42:50 +0000] "GET http://www.baidu.com/ HTTP/1.1" 404 33 "-" "curl/7.58.0"
::ffff:127.0.0.1 - - [12/Sep/2021:01:54:14 +0000] "GET /api/edu/score/get?relation_id=38&studentId=8 HTTP/1.1" 200 437 "http://localhost:9528/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36"
::ffff:127.0.0.1 - - [12/Sep/2021:01:54:14 +0000] "GET /api/edu/files/get?module_id=56&module_name=%E7%89%B9%E5%88%AB%E8%AE%B0%E5%BD%95 HTTP/1.1" 200 32 "http://localhost:9528/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36"
::ffff:127.0.0.1 - - [12/Sep/2021:01:54:14 +0000] "GET /api/edu/measures/get?score_id=56 HTTP/1.1" 200 418 "http://localhost:9528/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36"
::ffff:127.0.0.1 - - [12/Sep/2021:01:57:22 +0000] "GET /api/edu/teacher/getTeachersCourse?teacherId=6 HTTP/1.1" 200 3078 "http://localhost:9528/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36"
::ffff:127.0.0.1 - - [12/Sep/2021:01:57:22 +0000] "GET /api/edu/class/get?curPage=1&headMasterId=6 HTTP/1.1" 200 3392 "http://localhost:9528/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36"
::ffff:127.0.0.1 - - [12/Sep/2021:01:57:23 +0000] "GET /api/edu/teacher/checkCourseIsLogScore?teacherId=6&classId=6&relationId=43 HTTP/1.1" 200 45 "http://localhost:9528/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36"
::ffff:127.0.0.1 - - [12/Sep/2021:01:57:23 +0000] "GET /api/edu/teacher/checkCourseIsLogScore?teacherId=6&classId=6&relationId=44 HTTP/1.1" 200 45 "http://localhost:9528/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36"
::ffff:127.0.0.1 - - [12/Sep/2021:01:57:23 +0000] "GET /api/edu/teacher/checkCourseIsLogScore?teacherId=6&classId=6&relationId=45 HTTP/1.1" 200 45 "http://localhost:9528/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36"
::ffff:127.0.0.1 - - [12/Sep/2021:01:59:45 +0000] "GET /api/edu/teacher/checkCourseIsLogScore?teacherId=6&relationId=43&classId=6 HTTP/1.1" 200 45 "http://localhost:9528/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36"
::ffff:127.0.0.1 - - [12/Sep/2021:01:59:45 +0000] "GET /api/edu/teacher/getTeacherStudentsCourse?teacherId=6&relationId=43&classId=6 HTTP/1.1" 200 821 "http://localhost:9528/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36"
::ffff:127.0.0.1 - - [12/Sep/2021:02:09:17 +0000] "GET /api/edu/teacher/getTeachersCourse?teacherId=6 HTTP/1.1" 200 3078 "http://localhost:9528/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36"
::ffff:127.0.0.1 - - [12/Sep/2021:02:09:17 +0000] "GET /api/edu/class/get?curPage=1&headMasterId=6 HTTP/1.1" 200 3392 "http://localhost:9528/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36"
::ffff:127.0.0.1 - - [12/Sep/2021:02:09:17 +0000] "GET /api/edu/teacher/checkCourseIsLogScore?teacherId=6&classId=6&relationId=43 HTTP/1.1" 200 45 "http://localhost:9528/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36"
::ffff:127.0.0.1 - - [12/Sep/2021:02:09:17 +0000] "GET /api/edu/teacher/checkCourseIsLogScore?teacherId=6&classId=6&relationId=44 HTTP/1.1" 200 45 "http://localhost:9528/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36"
::ffff:127.0.0.1 - - [12/Sep/2021:02:09:17 +0000] "GET /api/edu/teacher/checkCourseIsLogScore?teacherId=6&classId=6&relationId=45 HTTP/1.1" 200 45 "http://localhost:9528/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36"
::ffff:127.0.0.1 - - [12/Sep/2021:02:09:30 +0000] "GET /api/edu/teacher/checkCourseIsLogScore?teacherId=6&relationId=43&classId=6 HTTP/1.1" 200 45 "http://localhost:9528/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36"
::ffff:127.0.0.1 - - [12/Sep/2021:02:09:36 +0000] "GET /api/edu/teacher/checkCourseIsLogScore?teacherId=6&relationId=44&classId=6 HTTP/1.1" 200 45 "http://localhost:9528/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36"
::ffff:127.0.0.1 - - [12/Sep/2021:02:09:37 +0000] "GET /api/edu/teacher/getTeacherStudentsCourse?teacherId=6&relationId=44&classId=6 HTTP/1.1" 200 817 "http://localhost:9528/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36"
::ffff:127.0.0.1 - - [12/Sep/2021:02:15:31 +0000] "GET /api/edu/teacher/getTeachersCourse?teacherId=6 HTTP/1.1" 200 3078 "http://localhost:9528/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36"
::ffff:127.0.0.1 - - [12/Sep/2021:02:15:32 +0000] "GET /api/edu/class/get?curPage=1&headMasterId=6 HTTP/1.1" 200 3392 "http://localhost:9528/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36"
::ffff:127.0.0.1 - - [12/Sep/2021:02:15:32 +0000] "GET /api/edu/teacher/checkCourseIsLogScore?teacherId=6&classId=6&relationId=45 HTTP/1.1" 200 45 "http://localhost:9528/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36"
::ffff:127.0.0.1 - - [12/Sep/2021:02:15:32 +0000] "GET /api/edu/teacher/checkCourseIsLogScore?teacherId=6&classId=6&relationId=43 HTTP/1.1" 200 45 "http://localhost:9528/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36"
::ffff:127.0.0.1 - - [12/Sep/2021:02:15:32 +0000] "GET /api/edu/teacher/checkCourseIsLogScore?teacherId=6&classId=6&relationId=44 HTTP/1.1" 200 45 "http://localhost:9528/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36"
::ffff:127.0.0.1 - - [12/Sep/2021:02:15:34 +0000] "GET /api/edu/teacher/checkCourseIsLogScore?teacherId=6&relationId=43&classId=6 HTTP/1.1" 200 45 "http://localhost:9528/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36"
::ffff:127.0.0.1 - - [12/Sep/2021:02:15:34 +0000] "GET /api/edu/teacher/getTeacherStudentsCourse?teacherId=6&relationId=43&classId=6 HTTP/1.1" 200 821 "http://localhost:9528/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36"
::ffff:127.0.0.1 - - [12/Sep/2021:02:41:09 +0000] "GET /api/edu/course/get?curPage=1 HTTP/1.1" 200 3637 "http://localhost:9528/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36"
::ffff:127.0.0.1 - - [12/Sep/2021:02:41:12 +0000] "GET /api/edu/organization/getUnqualifiedStudents HTTP/1.1" 200 32 "http://localhost:9528/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36"
::ffff:127.0.0.1 - - [12/Sep/2021:02:41:14 +0000] "GET /api/edu/organization/getUnqualifiedStudentsHistory HTTP/1.1" 200 6311 "http://localhost:9528/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36"
::ffff:127.0.0.1 - - [12/Sep/2021:02:41:22 +0000] "GET /api/edu/student/getUnQualifiedScoresHistory?studentId=8 HTTP/1.1" 200 575 "http://localhost:9528/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36"
::ffff:127.0.0.1 - - [12/Sep/2021:02:41:23 +0000] "GET /api/edu/student/getUnQualifiedScoresHistory?studentId=8 HTTP/1.1" 200 575 "http://localhost:9528/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36"
::ffff:127.0.0.1 - - [12/Sep/2021:02:41:28 +0000] "GET /api/edu/score/get?relation_id=38&studentId=8 HTTP/1.1" 200 437 "http://localhost:9528/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36"
::ffff:127.0.0.1 - - [12/Sep/2021:02:41:28 +0000] "GET /api/edu/files/get?module_id=56&module_name=%E7%89%B9%E5%88%AB%E8%AE%B0%E5%BD%95 HTTP/1.1" 200 32 "http://localhost:9528/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36"
::ffff:127.0.0.1 - - [12/Sep/2021:02:41:28 +0000] "GET /api/edu/measures/get?score_id=56 HTTP/1.1" 200 418 "http://localhost:9528/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36"
::ffff:127.0.0.1 - - [12/Sep/2021:02:41:49 +0000] "GET /api/edu/student/getUnQualifiedScoresHistory?studentId=1 HTTP/1.1" 200 5234 "http://localhost:9528/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36"
::ffff:127.0.0.1 - - [12/Sep/2021:02:41:53 +0000] "GET /api/edu/files/get?module_id=1&module_name=%E7%89%B9%E5%88%AB%E8%AE%B0%E5%BD%95 HTTP/1.1" 200 32 "http://localhost:9528/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36"
::ffff:127.0.0.1 - - [12/Sep/2021:02:41:53 +0000] "GET /api/edu/score/get?relation_id=2&studentId=1 HTTP/1.1" 200 790 "http://localhost:9528/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36"
::ffff:127.0.0.1 - - [12/Sep/2021:02:41:54 +0000] "GET /api/edu/measures/get?score_id=1 HTTP/1.1" 200 418 "http://localhost:9528/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36"
::ffff:127.0.0.1 - - [12/Sep/2021:02:42:00 +0000] "GET /api/edu/student/getUnQualifiedScoresHistory?studentId=2 HTTP/1.1" 200 1087 "http://localhost:9528/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36"
::ffff:127.0.0.1 - - [12/Sep/2021:02:42:02 +0000] "GET /api/edu/files/get?module_id=58&module_name=%E7%89%B9%E5%88%AB%E8%AE%B0%E5%BD%95 HTTP/1.1" 200 32 "http://localhost:9528/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36"
::ffff:127.0.0.1 - - [12/Sep/2021:02:42:02 +0000] "GET /api/edu/score/get?relation_id=24&studentId=2 HTTP/1.1" 200 429 "http://localhost:9528/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36"
::ffff:127.0.0.1 - - [12/Sep/2021:02:42:03 +0000] "GET /api/edu/measures/get?score_id=58 HTTP/1.1" 200 437 "http://localhost:9528/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36"
::ffff:127.0.0.1 - - [12/Sep/2021:02:42:12 +0000] "GET /api/edu/student/getUnQualifiedScoresHistory?studentId=10 HTTP/1.1" 200 697 "http://localhost:9528/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36"
::ffff:127.0.0.1 - - [12/Sep/2021:02:42:14 +0000] "GET /api/edu/score/get?relation_id=43&studentId=10 HTTP/1.1" 200 444 "http://localhost:9528/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36"
::ffff:127.0.0.1 - - [12/Sep/2021:02:42:14 +0000] "GET /api/edu/files/get?module_id=65&module_name=%E7%89%B9%E5%88%AB%E8%AE%B0%E5%BD%95 HTTP/1.1" 200 32 "http://localhost:9528/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36"
::ffff:127.0.0.1 - - [12/Sep/2021:02:42:15 +0000] "GET /api/edu/measures/get?score_id=65 HTTP/1.1" 200 432 "http://localhost:9528/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36"
::ffff:127.0.0.1 - - [12/Sep/2021:02:42:45 +0000] "GET /api/edu/teacher/getTeachersCourse?teacherId=6 HTTP/1.1" 200 3078 "http://localhost:9528/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36"
::ffff:127.0.0.1 - - [12/Sep/2021:02:42:45 +0000] "GET /api/edu/class/get?curPage=1&headMasterId=6 HTTP/1.1" 200 3392 "http://localhost:9528/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36"
::ffff:127.0.0.1 - - [12/Sep/2021:02:42:45 +0000] "GET /api/edu/teacher/checkCourseIsLogScore?teacherId=6&classId=6&relationId=44 HTTP/1.1" 200 45 "http://localhost:9528/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36"
::ffff:127.0.0.1 - - [12/Sep/2021:02:42:45 +0000] "GET /api/edu/teacher/checkCourseIsLogScore?teacherId=6&classId=6&relationId=45 HTTP/1.1" 200 45 "http://localhost:9528/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36"
::ffff:127.0.0.1 - - [12/Sep/2021:02:42:45 +0000] "GET /api/edu/teacher/checkCourseIsLogScore?teacherId=6&classId=6&relationId=43 HTTP/1.1" 200 45 "http://localhost:9528/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36"
::ffff:127.0.0.1 - - [12/Sep/2021:02:42:47 +0000] "GET /api/edu/teacher/checkCourseIsLogScore?teacherId=6&relationId=43&classId=6 HTTP/1.1" 200 45 "http://localhost:9528/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36"
::ffff:127.0.0.1 - - [12/Sep/2021:02:42:48 +0000] "GET /api/edu/teacher/getTeacherStudentsCourse?teacherId=6&relationId=43&classId=6 HTTP/1.1" 200 821 "http://localhost:9528/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36"
::ffff:127.0.0.1 - - [12/Sep/2021:03:16:08 +0000] "GET /api/edu/student/getUnQualifiedScoresHistory?studentId=8 HTTP/1.1" 200 575 "-" "PostmanRuntime/7.26.8"
::ffff:127.0.0.1 - - [12/Sep/2021:03:25:50 +0000] "GET /api/edu/student/getUnQualifiedScoresHistory?studentId=8 HTTP/1.1" 200 575 "-" "PostmanRuntime/7.26.8"
::ffff:127.0.0.1 - - [12/Sep/2021:03:25:50 +0000] "GET /api/edu/student/getUnQualifiedScoresHistory?studentId=8 HTTP/1.1" 200 575 "-" "PostmanRuntime/7.26.8"
::ffff:127.0.0.1 - - [12/Sep/2021:03:25:51 +0000] "GET /api/edu/student/getUnQualifiedScoresHistory?studentId=8 HTTP/1.1" 200 575 "-" "PostmanRuntime/7.26.8"
::ffff:127.0.0.1 - - [12/Sep/2021:03:26:16 +0000] "GET /api/edu/student/getUnQualifiedScoresHistory?studentId=8 HTTP/1.1" 200 575 "-" "PostmanRuntime/7.26.8"
::ffff:127.0.0.1 - - [12/Sep/2021:03:26:16 +0000] "GET /api/edu/student/getUnQualifiedScoresHistory?studentId=8 HTTP/1.1" 200 575 "-" "PostmanRuntime/7.26.8"
::ffff:127.0.0.1 - - [12/Sep/2021:03:26:17 +0000] "GET /api/edu/student/getUnQualifiedScoresHistory?studentId=8 HTTP/1.1" 200 575 "-" "PostmanRuntime/7.26.8"
::ffff:127.0.0.1 - - [12/Sep/2021:03:26:17 +0000] "GET /api/edu/student/getUnQualifiedScoresHistory?studentId=8 HTTP/1.1" 200 575 "-" "PostmanRuntime/7.26.8"
::ffff:127.0.0.1 - - [12/Sep/2021:03:26:18 +0000] "GET /api/edu/student/getUnQualifiedScoresHistory?studentId=8 HTTP/1.1" 200 575 "-" "PostmanRuntime/7.26.8"
::ffff:74.120.14.114 - - [12/Sep/2021:04:33:11 +0000] "GET / HTTP/1.1" 404 33 "-" "-"
::ffff:74.120.14.114 - - [12/Sep/2021:04:33:11 +0000] "GET / HTTP/1.1" 404 33 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
::ffff:127.0.0.1 - - [12/Sep/2021:07:31:14 +0000] "GET /api/edu/course/get?curPage=1 HTTP/1.1" 200 3637 "http://119.3.190.1:8383/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36 SE 2.X MetaSr 1.0"
::ffff:127.0.0.1 - - [12/Sep/2021:07:31:15 +0000] "GET /api/edu/organization/get?curPage=1 HTTP/1.1" 200 1301 "http://119.3.190.1:8383/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36 SE 2.X MetaSr 1.0"
::ffff:127.0.0.1 - - [12/Sep/2021:07:38:26 +0000] "GET /api/edu/organization/get?curPage=1 HTTP/1.1" 200 1301 "http://119.3.190.1:8383/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36 SE 2.X MetaSr 1.0"
::ffff:127.0.0.1 - - [12/Sep/2021:07:44:50 +0000] "GET /api/edu/student/getUnQualifiedScoresHistory?studentId=8 HTTP/1.1" 200 575 "-" "PostmanRuntime/7.26.8"
::ffff:127.0.0.1 - - [12/Sep/2021:07:45:33 +0000] "GET /api/edu/student/getUnQualifiedScoresHistory?studentId=8 HTTP/1.1" 200 575 "-" "PostmanRuntime/7.26.8"
::ffff:127.0.0.1 - - [12/Sep/2021:07:46:06 +0000] "GET /api/edu/student/getUnQualifiedScoresHistory?studentId=8 HTTP/1.1" 200 575 "-" "PostmanRuntime/7.26.8"
::ffff:127.0.0.1 - - [12/Sep/2021:07:46:15 +0000] "GET /api/edu/organization/get?curPage=1 HTTP/1.1" 200 1301 "http://119.3.190.1:8383/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36 SE 2.X MetaSr 1.0"
::ffff:127.0.0.1 - - [12/Sep/2021:07:46:17 +0000] "GET /api/edu/course/get?curPage=1 HTTP/1.1" 200 3637 "http://119.3.190.1:8383/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36 SE 2.X MetaSr 1.0"
::ffff:127.0.0.1 - - [12/Sep/2021:07:54:03 +0000] "GET /api/edu/organization/getUnqualifiedStudents HTTP/1.1" 200 32 "http://119.3.190.1:8383/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36 SE 2.X MetaSr 1.0"
::ffff:127.0.0.1 - - [12/Sep/2021:07:54:03 +0000] "GET /api/edu/organization/getSpecialRecordStudents HTTP/1.1" 200 613 "http://119.3.190.1:8383/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36 SE 2.X MetaSr 1.0"
::ffff:127.0.0.1 - - [12/Sep/2021:08:05:36 +0000] "GET /api/edu/student/getUnQualifiedSpecialRecord?studentId=8 HTTP/1.1" 200 1149 "http://119.3.190.1:8383/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36 SE 2.X MetaSr 1.0"
