::ffff:111.7.96.149 - - [15/Sep/2021:16:27:03 +0000] "GET / HTTP/1.1" 404 33 "-" "curl/7.64.1"
::ffff:127.0.0.1 - - [16/Sep/2021:01:34:26 +0000] "GET /api/edu/student/getUnQualifiedScores?studentId=14 HTTP/1.1" 200 3936 "http://119.3.190.1:8383/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36 SE 2.X MetaSr 1.0"
::ffff:127.0.0.1 - - [16/Sep/2021:07:11:29 +0000] "GET /api/edu/organization/getUnqualifiedStudents HTTP/1.1" 200 8922 "http://119.3.190.1:8383/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36 SE 2.X MetaSr 1.0"
::ffff:127.0.0.1 - - [16/Sep/2021:07:11:32 +0000] "GET /api/edu/organization/getUnqualifiedStudentsHistory HTTP/1.1" 200 8370 "http://119.3.190.1:8383/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36 SE 2.X MetaSr 1.0"
::ffff:127.0.0.1 - - [16/Sep/2021:07:11:37 +0000] "GET /api/edu/student/getUnQualifiedScoresHistory?studentId=14 HTTP/1.1" 200 608 "http://119.3.190.1:8383/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36 SE 2.X MetaSr 1.0"
::ffff:127.0.0.1 - - [16/Sep/2021:07:11:40 +0000] "GET /api/edu/student/getUnQualifiedScoresHistory?studentId=8 HTTP/1.1" 200 575 "http://119.3.190.1:8383/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36 SE 2.X MetaSr 1.0"
::ffff:127.0.0.1 - - [16/Sep/2021:07:11:47 +0000] "GET /api/edu/student/getUnQualifiedScoresHistory?studentId=11 HTTP/1.1" 200 650 "http://119.3.190.1:8383/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36 SE 2.X MetaSr 1.0"
::ffff:127.0.0.1 - - [16/Sep/2021:07:11:50 +0000] "GET /api/edu/organization/get?curPage=1 HTTP/1.1" 200 2109 "http://119.3.190.1:8383/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36 SE 2.X MetaSr 1.0"
::ffff:127.0.0.1 - - [16/Sep/2021:07:12:12 +0000] "GET /api/edu/organization/getUnqualifiedStudents HTTP/1.1" 200 8922 "http://119.3.190.1:8383/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36 SE 2.X MetaSr 1.0"
::ffff:127.0.0.1 - - [16/Sep/2021:07:12:16 +0000] "GET /api/edu/student/getUnQualifiedScores?studentId=14 HTTP/1.1" 200 3936 "http://119.3.190.1:8383/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36 SE 2.X MetaSr 1.0"
::ffff:127.0.0.1 - - [16/Sep/2021:07:13:09 +0000] "GET /api/edu/score/get?relation_id=53&studentId=14 HTTP/1.1" 200 830 "http://119.3.190.1:8383/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36 SE 2.X MetaSr 1.0"
::ffff:127.0.0.1 - - [16/Sep/2021:07:13:09 +0000] "GET /api/edu/files/get?module_id=95&module_name=%E7%89%B9%E5%88%AB%E8%AE%B0%E5%BD%95 HTTP/1.1" 200 32 "http://119.3.190.1:8383/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36 SE 2.X MetaSr 1.0"
::ffff:127.0.0.1 - - [16/Sep/2021:07:13:09 +0000] "GET /api/edu/score/getCommonText?username=admin HTTP/1.1" 200 1750 "http://119.3.190.1:8383/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36 SE 2.X MetaSr 1.0"
::ffff:127.0.0.1 - - [16/Sep/2021:07:53:02 +0000] "GET /api/edu/organization/getUnqualifiedStudents HTTP/1.1" 200 9780 "http://119.3.190.1:8383/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36 SE 2.X MetaSr 1.0"
::ffff:127.0.0.1 - - [16/Sep/2021:07:53:15 +0000] "GET /api/edu/course/get?curPage=1 HTTP/1.1" 200 3637 "http://119.3.190.1:8383/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36 SE 2.X MetaSr 1.0"
::ffff:127.0.0.1 - - [16/Sep/2021:07:53:16 +0000] "GET /api/edu/organization/getUnqualifiedStudents HTTP/1.1" 200 9780 "http://119.3.190.1:8383/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36 SE 2.X MetaSr 1.0"
::ffff:127.0.0.1 - - [16/Sep/2021:07:53:35 +0000] "GET /api/edu/organization/getUnqualifiedStudents HTTP/1.1" 200 9780 "-" "PostmanRuntime/7.26.8"
::ffff:127.0.0.1 - - [16/Sep/2021:07:54:11 +0000] "POST /api/edu/score/readOk?id= HTTP/1.1" 200 52 "-" "PostmanRuntime/7.26.8"
::ffff:127.0.0.1 - - [16/Sep/2021:07:54:34 +0000] "POST /api/edu/score/readOk?id=1 HTTP/1.1" 200 52 "-" "PostmanRuntime/7.26.8"
::ffff:127.0.0.1 - - [16/Sep/2021:07:54:41 +0000] "POST /api/edu/score/readOk?id=1 HTTP/1.1" 200 52 "-" "PostmanRuntime/7.26.8"
::ffff:127.0.0.1 - - [16/Sep/2021:07:55:29 +0000] "POST /api/edu/score/readOk?id=1 HTTP/1.1" 200 52 "-" "PostmanRuntime/7.26.8"
::ffff:127.0.0.1 - - [16/Sep/2021:07:55:29 +0000] "POST /api/edu/score/readOk?id=1 HTTP/1.1" 200 52 "-" "PostmanRuntime/7.26.8"
::ffff:127.0.0.1 - - [16/Sep/2021:07:55:35 +0000] "POST /api/edu/score/readOk?id=1 HTTP/1.1" 200 52 "-" "PostmanRuntime/7.26.8"
::ffff:127.0.0.1 - - [16/Sep/2021:07:55:39 +0000] "POST /api/edu/score/readOk?id=1 HTTP/1.1" 200 52 "-" "PostmanRuntime/7.26.8"
::ffff:127.0.0.1 - - [16/Sep/2021:07:55:53 +0000] "POST /api/edu/score/readOk?id=1 HTTP/1.1" 200 52 "-" "PostmanRuntime/7.26.8"
::ffff:127.0.0.1 - - [16/Sep/2021:07:55:58 +0000] "POST /api/edu/score/readOk?id=1 HTTP/1.1" 200 52 "-" "PostmanRuntime/7.26.8"
::ffff:127.0.0.1 - - [16/Sep/2021:07:55:58 +0000] "POST /api/edu/score/readOk?id=1 HTTP/1.1" 200 52 "-" "PostmanRuntime/7.26.8"
::ffff:127.0.0.1 - - [16/Sep/2021:07:55:59 +0000] "POST /api/edu/score/readOk?id=1 HTTP/1.1" 200 52 "-" "PostmanRuntime/7.26.8"
::ffff:127.0.0.1 - - [16/Sep/2021:07:55:59 +0000] "POST /api/edu/score/readOk?id=1 HTTP/1.1" 200 52 "-" "PostmanRuntime/7.26.8"
::ffff:127.0.0.1 - - [16/Sep/2021:07:56:03 +0000] "POST /api/edu/score/readOk?id=1 HTTP/1.1" 200 52 "-" "PostmanRuntime/7.26.8"
::ffff:127.0.0.1 - - [16/Sep/2021:07:56:13 +0000] "POST /api/edu/score/readOk?id=1 HTTP/1.1" 400 113 "-" "PostmanRuntime/7.26.8"
::ffff:127.0.0.1 - - [16/Sep/2021:07:56:18 +0000] "POST /api/edu/score/readOk?id=1 HTTP/1.1" 400 112 "-" "PostmanRuntime/7.26.8"
::ffff:127.0.0.1 - - [16/Sep/2021:07:56:25 +0000] "POST /api/edu/score/readOk?id=1 HTTP/1.1" 400 112 "-" "PostmanRuntime/7.26.8"
::ffff:127.0.0.1 - - [16/Sep/2021:07:56:26 +0000] "POST /api/edu/score/readOk?id=1 HTTP/1.1" 400 112 "-" "PostmanRuntime/7.26.8"
::ffff:127.0.0.1 - - [16/Sep/2021:07:56:26 +0000] "POST /api/edu/score/readOk?id=1 HTTP/1.1" 400 112 "-" "PostmanRuntime/7.26.8"
::ffff:127.0.0.1 - - [16/Sep/2021:07:56:27 +0000] "POST /api/edu/score/readOk?id=1 HTTP/1.1" 400 112 "-" "PostmanRuntime/7.26.8"
::ffff:127.0.0.1 - - [16/Sep/2021:07:56:27 +0000] "POST /api/edu/score/readOk?id=1 HTTP/1.1" 400 112 "-" "PostmanRuntime/7.26.8"
::ffff:127.0.0.1 - - [16/Sep/2021:07:56:28 +0000] "POST /api/edu/score/readOk?id=1 HTTP/1.1" 400 112 "-" "PostmanRuntime/7.26.8"
::ffff:127.0.0.1 - - [16/Sep/2021:07:56:28 +0000] "POST /api/edu/score/readOk?id=1 HTTP/1.1" 400 112 "-" "PostmanRuntime/7.26.8"
::ffff:127.0.0.1 - - [16/Sep/2021:07:56:59 +0000] "POST /api/edu/score/readOk?id=1 HTTP/1.1" 400 112 "-" "PostmanRuntime/7.26.8"
::ffff:127.0.0.1 - - [16/Sep/2021:07:56:59 +0000] "POST /api/edu/score/readOk?id=1 HTTP/1.1" 400 112 "-" "PostmanRuntime/7.26.8"
::ffff:127.0.0.1 - - [16/Sep/2021:07:57:00 +0000] "POST /api/edu/score/readOk?id=1 HTTP/1.1" 400 112 "-" "PostmanRuntime/7.26.8"
::ffff:127.0.0.1 - - [16/Sep/2021:07:57:03 +0000] "GET /api/edu/score/readOk?id=1 HTTP/1.1" 400 112 "-" "PostmanRuntime/7.26.8"
::ffff:127.0.0.1 - - [16/Sep/2021:07:57:03 +0000] "GET /api/edu/score/readOk?id=1 HTTP/1.1" 400 112 "-" "PostmanRuntime/7.26.8"
::ffff:127.0.0.1 - - [16/Sep/2021:07:57:08 +0000] "GET /api/edu/score/readOk?id=1 HTTP/1.1" 400 112 "-" "PostmanRuntime/7.26.8"
::ffff:127.0.0.1 - - [16/Sep/2021:07:57:08 +0000] "GET /api/edu/score/readOk?id=1 HTTP/1.1" 400 112 "-" "PostmanRuntime/7.26.8"
::ffff:127.0.0.1 - - [16/Sep/2021:07:57:09 +0000] "GET /api/edu/score/readOk?id=1 HTTP/1.1" 400 112 "-" "PostmanRuntime/7.26.8"
::ffff:127.0.0.1 - - [16/Sep/2021:07:57:32 +0000] "GET /api/edu/score/readOk?id=1 HTTP/1.1" 400 112 "-" "PostmanRuntime/7.26.8"
::ffff:127.0.0.1 - - [16/Sep/2021:07:57:32 +0000] "GET /api/edu/score/readOk?id=1 HTTP/1.1" 400 112 "-" "PostmanRuntime/7.26.8"
::ffff:127.0.0.1 - - [16/Sep/2021:07:57:33 +0000] "GET /api/edu/score/readOk?id=1 HTTP/1.1" 400 112 "-" "PostmanRuntime/7.26.8"
::ffff:127.0.0.1 - - [16/Sep/2021:07:57:41 +0000] "GET /api/edu/score/readOk?id=1 HTTP/1.1" 400 112 "-" "PostmanRuntime/7.26.8"
::ffff:127.0.0.1 - - [16/Sep/2021:07:57:47 +0000] "GET /api/edu/score/readOk?id=1 HTTP/1.1" 400 112 "-" "PostmanRuntime/7.26.8"
::ffff:127.0.0.1 - - [16/Sep/2021:07:57:48 +0000] "GET /api/edu/score/readOk?id=1 HTTP/1.1" 400 112 "-" "PostmanRuntime/7.26.8"
::ffff:127.0.0.1 - - [16/Sep/2021:07:57:51 +0000] "GET /api/edu/score/readOk?id=1 HTTP/1.1" 400 112 "-" "PostmanRuntime/7.26.8"
::ffff:127.0.0.1 - - [16/Sep/2021:07:57:52 +0000] "GET /api/edu/score/readOk?id=1 HTTP/1.1" 400 112 "-" "PostmanRuntime/7.26.8"
::ffff:127.0.0.1 - - [16/Sep/2021:07:57:53 +0000] "GET /api/edu/score/readOk?id=1 HTTP/1.1" 400 112 "-" "PostmanRuntime/7.26.8"
::ffff:127.0.0.1 - - [16/Sep/2021:07:57:53 +0000] "GET /api/edu/score/readOk?id=1 HTTP/1.1" 400 112 "-" "PostmanRuntime/7.26.8"
::ffff:127.0.0.1 - - [16/Sep/2021:07:57:54 +0000] "GET /api/edu/score/readOk?id=1 HTTP/1.1" 400 112 "-" "PostmanRuntime/7.26.8"
::ffff:127.0.0.1 - - [16/Sep/2021:07:57:54 +0000] "GET /api/edu/score/readOk?id=1 HTTP/1.1" 400 112 "-" "PostmanRuntime/7.26.8"
::ffff:127.0.0.1 - - [16/Sep/2021:07:57:55 +0000] "GET /api/edu/score/readOk?id=1 HTTP/1.1" 400 112 "-" "PostmanRuntime/7.26.8"
::ffff:127.0.0.1 - - [16/Sep/2021:07:57:55 +0000] "GET /api/edu/score/readOk?id=1 HTTP/1.1" 400 112 "-" "PostmanRuntime/7.26.8"
::ffff:127.0.0.1 - - [16/Sep/2021:07:58:09 +0000] "GET /api/edu/score/readOk?id=1 HTTP/1.1" 400 112 "-" "PostmanRuntime/7.26.8"
::ffff:127.0.0.1 - - [16/Sep/2021:07:58:10 +0000] "GET /api/edu/score/readOk?id=1 HTTP/1.1" 400 112 "-" "PostmanRuntime/7.26.8"
::ffff:127.0.0.1 - - [16/Sep/2021:07:58:10 +0000] "GET /api/edu/score/readOk?id=1 HTTP/1.1" 400 112 "-" "PostmanRuntime/7.26.8"
::ffff:127.0.0.1 - - [16/Sep/2021:07:58:29 +0000] "GET /api/edu/score/readOk?id=1 HTTP/1.1" 400 112 "-" "PostmanRuntime/7.26.8"
::ffff:127.0.0.1 - - [16/Sep/2021:07:59:07 +0000] "GET /api/edu/score/readOk?id=1 HTTP/1.1" 400 112 "-" "PostmanRuntime/7.26.8"
::ffff:127.0.0.1 - - [16/Sep/2021:07:59:33 +0000] "GET /api/edu/score/readOk?id=1 HTTP/1.1" 200 34 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36 SE 2.X MetaSr 1.0"
::ffff:127.0.0.1 - - [16/Sep/2021:08:15:10 +0000] "GET /api/edu/organization/getUnqualifiedStudents HTTP/1.1" 200 9780 "http://119.3.190.1:8383/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36 SE 2.X MetaSr 1.0"
::ffff:127.0.0.1 - - [16/Sep/2021:08:15:12 +0000] "GET /api/edu/course/get?curPage=1 HTTP/1.1" 200 3637 "http://119.3.190.1:8383/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36 SE 2.X MetaSr 1.0"
::ffff:127.0.0.1 - - [16/Sep/2021:08:15:14 +0000] "GET /api/edu/organization/getUnqualifiedStudents HTTP/1.1" 200 9780 "http://119.3.190.1:8383/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36 SE 2.X MetaSr 1.0"
::ffff:127.0.0.1 - - [16/Sep/2021:08:16:03 +0000] "GET /api/edu/student/getUnQualifiedScores?studentId=14 HTTP/1.1" 200 3936 "http://119.3.190.1:8383/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36 SE 2.X MetaSr 1.0"
::ffff:127.0.0.1 - - [16/Sep/2021:08:16:09 +0000] "GET /api/edu/student/getUnQualifiedScores?studentId=14 HTTP/1.1" 200 3936 "http://119.3.190.1:8383/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36 SE 2.X MetaSr 1.0"
::ffff:127.0.0.1 - - [16/Sep/2021:08:20:41 +0000] "GET /api/edu/student/getUnQualifiedScores?studentId=14 HTTP/1.1" 200 3936 "http://119.3.190.1:8383/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36 SE 2.X MetaSr 1.0"
::ffff:127.0.0.1 - - [16/Sep/2021:08:20:55 +0000] "GET /api/edu/score/readOk?id=2 HTTP/1.1" 200 34 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36 SE 2.X MetaSr 1.0"
::ffff:127.0.0.1 - - [16/Sep/2021:08:28:32 +0000] "GET /api/edu/student/getUnQualifiedScores?studentId=14 HTTP/1.1" 200 3936 "http://119.3.190.1:8383/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36 SE 2.X MetaSr 1.0"
::ffff:127.0.0.1 - - [16/Sep/2021:08:28:49 +0000] "GET /api/edu/score/readOk?id=1 HTTP/1.1" 400 112 "-" "PostmanRuntime/7.26.8"
::ffff:127.0.0.1 - - [16/Sep/2021:08:28:50 +0000] "GET /api/edu/score/readOk?id=1 HTTP/1.1" 400 112 "-" "PostmanRuntime/7.26.8"
::ffff:127.0.0.1 - - [16/Sep/2021:08:28:50 +0000] "GET /api/edu/score/readOk?id=1 HTTP/1.1" 400 112 "-" "PostmanRuntime/7.26.8"
::ffff:127.0.0.1 - - [16/Sep/2021:08:28:51 +0000] "GET /api/edu/score/readOk?id=1 HTTP/1.1" 400 112 "-" "PostmanRuntime/7.26.8"
::ffff:127.0.0.1 - - [16/Sep/2021:08:28:51 +0000] "GET /api/edu/score/readOk?id=1 HTTP/1.1" 400 112 "-" "PostmanRuntime/7.26.8"
::ffff:127.0.0.1 - - [16/Sep/2021:08:28:51 +0000] "GET /api/edu/score/readOk?id=1 HTTP/1.1" 400 112 "-" "PostmanRuntime/7.26.8"
::ffff:127.0.0.1 - - [16/Sep/2021:08:31:52 +0000] "GET /api/edu/score/readOk?id=1 HTTP/1.1" 400 112 "-" "PostmanRuntime/7.26.8"
::ffff:127.0.0.1 - - [16/Sep/2021:08:31:53 +0000] "GET /api/edu/score/readOk?id=1 HTTP/1.1" 400 112 "-" "PostmanRuntime/7.26.8"
::ffff:127.0.0.1 - - [16/Sep/2021:08:31:53 +0000] "GET /api/edu/score/readOk?id=1 HTTP/1.1" 400 112 "-" "PostmanRuntime/7.26.8"
::ffff:127.0.0.1 - - [16/Sep/2021:08:41:23 +0000] "GET /api/edu/student/getUnQualifiedScores?studentId=14 HTTP/1.1" 200 3936 "http://119.3.190.1:8383/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36 SE 2.X MetaSr 1.0"
